family,accession,trait,cpg,region_id,k_iv,method,beta,se,lo,hi,p,Qp,mean_F,p_bh
MCV,GCST90018966,Mean corpuscular volume,cg25753631,12268,29,ivw_re,-0.00036466251053157,0.024918736259901295,-0.04920538557993811,0.04847606055887497,0.988324118877104,0.0,333.18061369475754,0.9972279397678887
MCV,GCST90018966,Mean corpuscular volume,cg27360567,106528,20,ivw_re,0.004170400167402145,0.01292224988049316,-0.021157209598364448,0.02949800993316874,0.7468995857584245,0.0,355.26006743156677,0.9247574119068547
Monocyte,GCST90002393,Monocyte count,cg00387872,12268,58,ivw_re,0.005484824514532386,0.00522585713019813,-0.004757855460655948,0.01572750448972072,0.2939227526417822,0.0,736.7876238675574,0.5660244643262944
Monocyte,GCST90002393,Monocyte count,cg15445000,84604,15,ivw_re,0.009616096366905429,0.005851554550078175,-0.001852950551247793,0.02108514328505865,0.10031251077814023,2.572247385257409e-05,410.97954938698894,0.29565792650399225
Monocyte,GCST90002393,Monocyte count,cg18129748,106528,5,ivw_re,0.0317055553310608,0.030475619919421895,-0.02802665971100611,0.09143777037312771,0.2981736017433158,0.00013116050671907464,79.34125188419293,0.5660244643262944
Monocyte,GCST90002393,Monocyte count,cg19490609,12268,24,ivw_re,0.04886524968203545,0.014098386387476614,0.021232412362581284,0.0764980870014896,0.000528229490332687,0.0,193.27971619765344,0.011618862883130696
Monocyte,GCST90002393,Monocyte count,cg24308560,106528,29,ivw_re,-0.010024299649473115,0.0037982096729397194,-0.017468790608434964,-0.0025798086905112648,0.008309776384473114,3.163261319549804e-10,576.5815219388185,0.06204633033739926
Monocyte,GCST90002393,Monocyte count,cg25753631,12268,29,ivw_re,-0.00016242555799592527,0.009608534850716317,-0.018995153865399905,0.018670302749408056,0.9865129621615549,0.0,333.18061369475754,0.9972279397678887
Monocyte,GCST90002393,Monocyte count,cg27360567,106528,20,ivw_re,-0.008404271675046943,0.00560142728232496,-0.019383069148403865,0.0025745257983099783,0.13351589511082915,5.892171427435144e-07,355.26006743156677,0.35166611981907847
Neutrophil,GCST90018968,Neutrophil count,cg00387872,12268,58,ivw_re,0.0038097345124876196,0.0038310312070863077,-0.0036990866534015437,0.011318555678376783,0.3200082148341424,0.0,736.7876238675574,0.5689034930384753
Neutrophil,GCST90018968,Neutrophil count,cg15445000,84604,15,ivw_re,0.01228138982204251,0.016919084714102802,-0.02088001621759898,0.045442795861683996,0.46790637335988916,0.0,410.97954938698894,0.7188395500993948
Neutrophil,GCST90018968,Neutrophil count,cg18129748,106528,4,ivw_re,0.018018015797893323,0.042163964340182936,-0.06462335430886523,0.10065938590465187,0.6691374490991785,9.445185598311312e-06,93.81870373504762,0.8821541446360615
Neutrophil,GCST90018968,Neutrophil count,cg19490609,12268,24,ivw_re,0.024732047820768117,0.010177385170280703,0.00478437288701794,0.04467972275451829,0.015094722445171911,0.0,193.27971619765344,0.09392271743662522
Neutrophil,GCST90018968,Neutrophil count,cg24308560,106528,29,ivw_re,-0.015090421700586448,0.004314706773198733,-0.023547246976055966,-0.0066335964251169315,0.00046974896007077356,2.5688895455289185e-12,576.5815219388185,0.011618862883130696
Neutrophil,GCST90018968,Neutrophil count,cg25753631,12268,29,ivw_re,0.000724364307066451,0.007154123173257504,-0.013297717112518257,0.014746445726651158,0.9193509704807046,0.0,333.18061369475754,0.9972279397678887
Neutrophil,GCST90018968,Neutrophil count,cg27360567,106528,20,ivw_re,-0.02436251821236913,0.0070040271585644475,-0.03809041144315545,-0.010634624981582812,0.0005044944945883844,1.9661722250319258e-10,355.26006743156677,0.011618862883130696
PP,GCST90310296,Pulse pressure,cg00387872,12268,54,ivw_re,0.014216574048073024,0.04065756091474732,-0.06547224534483172,0.09390539344097777,0.72658923710101,0.0,549.5690036314566,0.9247574119068547
PP,GCST90310296,Pulse pressure,cg15445000,84604,13,ivw_re,0.0016989402333515635,0.040586186736914824,-0.07784998577100148,0.08124786623770462,0.9666102555544341,0.04349833708284989,459.3382319883263,0.9972279397678887
PP,GCST90310296,Pulse pressure,cg18129748,106528,4,ivw_re,0.01644078629305367,0.2559095648803304,-0.4851419608723939,0.5180235334585013,0.948775531450069,0.00046497827531322145,93.81870373504762,0.9972279397678887
PP,GCST90310296,Pulse pressure,cg19490609,12268,20,ivw_re,-0.26801270750896794,0.11862986631113408,-0.5005272454787908,-0.03549816953914514,0.02386879093588639,0.0,146.33751840034387,0.12151384476451253
PP,GCST90310296,Pulse pressure,cg24308560,106528,28,ivw_re,-0.01830784083702893,0.02610422463857949,-0.06947212112864473,0.03285643945458687,0.48309315272363634,7.264309977228489e-05,588.6309992605945,0.7275940929570954
PP,GCST90310296,Pulse pressure,cg25753631,12268,29,ivw_re,0.0918289182117738,0.07098072169423676,-0.047293296308930255,0.23095113273247786,0.19576342532239935,0.0,333.18061369475754,0.42164430069439857
PP,GCST90310296,Pulse pressure,cg27360567,106528,19,ivw_re,-0.04045703399695124,0.04469075378820443,-0.12805091142183192,0.04713684342792945,0.3653243172944731,3.1354906964153884e-05,366.9053775609407,0.6199442960148634
Platelet,GCST90018969,Platelet count,cg00387872,12268,58,ivw_re,-0.0040176308165346475,0.004894698345860527,-0.013611239574421282,0.005575977941351986,0.4117529341836724,0.0,736.7876238675574,0.668352588819874
