set,go_id,term,n_term,n_hit,n_cand,n_univ,p,OR,p_bh
all,GO:0071706,tumor necrosis factor superfamily cytokine production,176,2,155,35143,0.182316017872034,2.59707367795593,0.324891891585426
all,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,176,2,155,35143,0.182316017872034,2.59707367795593,0.324891891585426
all,GO:0000922,spindle pole,176,2,155,35143,0.182316017872034,2.59707367795593,0.324891891585426
all,GO:0000375,"RNA splicing, via transesterification reactions",333,3,155,35143,0.182411369297963,2.06318160265525,0.324891891585426
all,GO:0072594,establishment of protein localization to organelle,333,3,155,35143,0.182411369297963,2.06318160265525,0.324891891585426
all,GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,333,3,155,35143,0.182411369297963,2.06318160265525,0.324891891585426
all,GO:0042770,signal transduction in response to DNA damage,178,2,155,35143,0.185482358932715,2.56774619960334,0.327106820186758
all,GO:0048863,stem cell differentiation,178,2,155,35143,0.185482358932715,2.56774619960334,0.327106820186758
all,GO:0031334,positive regulation of protein-containing complex assembly,179,2,155,35143,0.187068522002485,2.55332822141883,0.328286916063185
all,GO:0010810,regulation of cell-substrate adhesion,184,2,155,35143,0.195027359955225,2.48358908780895,0.3405843651901
all,GO:0009612,response to mechanical stimulus,185,2,155,35143,0.196624404986336,2.47009362303471,0.341706490218972
all,GO:1901654,response to ketone,188,2,155,35143,0.201425270524796,2.43046864135717,0.348358680424526
all,GO:0061630,ubiquitin protein ligase activity,351,3,155,35143,0.202477572836085,1.95636527215471,0.348495053246724
all,GO:0008168,methyltransferase activity,190,2,155,35143,0.204633508243382,2.40474716202262,0.3505205547901
all,GO:0065004,protein-DNA complex assembly,191,2,155,35143,0.206239792789145,2.39208842350195,0.351589741992924
all,GO:0000070,mitotic sister chromatid segregation,192,2,155,35143,0.2078474630555,2.37956154684088,0.35265114584772
all,GO:0043523,regulation of neuron apoptotic process,193,2,155,35143,0.209456475928764,2.36716448237318,0.352940762591598
all,GO:0006399,tRNA metabolic process,194,2,155,35143,0.211066788643884,2.35489522269381,0.352940762591598
all,GO:0005516,calmodulin binding,194,2,155,35143,0.211066788643884,2.35489522269381,0.352940762591598
all,GO:0051260,protein homooligomerization,195,2,155,35143,0.21267835878223,2.34275180157525,0.352940762591598
all,GO:0005681,spliceosomal complex,196,2,155,35143,0.214291144269405,2.33073229291709,0.352940762591598
all,GO:0006836,neurotransmitter transport,197,2,155,35143,0.215905103373072,2.31883480972754,0.352940762591598
all,GO:0051648,vesicle localization,197,2,155,35143,0.215905103373072,2.31883480972754,0.352940762591598
all,GO:0016741,"transferase activity, transferring one-carbon groups",197,2,155,35143,0.215905103373072,2.31883480972754,0.352940762591598
all,GO:0004518,nuclease activity,198,2,155,35143,0.217520194700785,2.30705750313586,0.353818326356442
all,GO:0045089,positive regulation of innate immune response,366,3,155,35143,0.219577076175492,1.87537748058668,0.353818326356442
all,GO:0061659,ubiquitin-like protein ligase activity,367,3,155,35143,0.22072775937273,1.87021368134229,0.353818326356442
all,GO:0033002,muscle cell proliferation,201,2,155,35143,0.222371853156982,2.27242870614242,0.353818326356442
all,GO:0046651,lymphocyte proliferation,201,2,155,35143,0.222371853156982,2.27242870614242,0.353818326356442
all,GO:1903320,regulation of protein modification by small protein conjugation or removal,201,2,155,35143,0.222371853156982,2.27242870614242,0.353818326356442
all,GO:0061136,regulation of proteasomal protein catabolic process,203,2,155,35143,0.225611209486573,2.24991145883634,0.357384128301739
all,GO:0032943,mononuclear cell proliferation,204,2,155,35143,0.227232243681371,2.23881840317819,0.358366269770621
all,GO:0031507,heterochromatin formation,205,2,155,35143,0.228854129690732,2.2278335724533,0.359341133461764
all,GO:1901873,regulation of post-translational protein modification,206,2,155,35143,0.230476828764848,2.2169553905704,0.359705230675326
all,GO:0015631,tubulin binding,376,3,155,35143,0.231138166129494,1.82497550391934,0.359705230675326
all,GO:0003714,transcription corepressor activity,207,2,155,35143,0.232100302474861,2.20618231189409,0.359705230675326
all,GO:0001934,positive regulation of protein phosphorylation,208,2,155,35143,0.233724512710813,2.19551282051275,0.360661101510651
all,GO:0071824,protein-DNA complex organization,209,2,155,35143,0.235349421679614,2.1849454295274,0.361609841035631
all,GO:0006909,phagocytosis,210,2,155,35143,0.23697499190302,2.17447868036097,0.362551483338809
all,GO:0043254,regulation of protein-containing complex assembly,384,3,155,35143,0.240467432691355,1.7865439967105,0.366329110227681
all,GO:0032259,methylation,214,2,155,35143,0.243483146685082,2.13358988455189,0.366526995480871
all,GO:0043123,positive regulation of canonical NF-kappaB signal transduction,215,2,155,35143,0.245111471887287,2.12360541115665,0.366526995480871
all,GO:0070828,heterochromatin organization,215,2,155,35143,0.245111471887287,2.12360541115665,0.366526995480871
all,GO:0140098,"catalytic activity, acting on RNA",388,3,155,35143,0.245156133937025,1.76792254476394,0.366526995480871
all,GO:0015931,nucleobase-containing compound transport,216,2,155,35143,0.246740239974553,2.11371338658914,0.366526995480871
all,GO:0051402,neuron apoptotic process,216,2,155,35143,0.246740239974553,2.11371338658914,0.366526995480871
all,GO:0002833,positive regulation of response to biotic stimulus,391,3,155,35143,0.248682389210566,1.7542064880872,0.367885517923069
all,GO:0005840,ribosome,218,2,155,35143,0.249998963783328,2.09420159501103,0.368311230594369
all,GO:0099003,vesicle-mediated transport in synapse,224,2,155,35143,0.25978215125798,2.03775676937436,0.381155779304741
all,GO:0043588,skin development,225,2,155,35143,0.261413350948698,2.02864197530858,0.381255003792295
all,GO:0042327,positive regulation of phosphorylation,226,2,155,35143,0.263044653454461,2.0196078431372,0.381255003792295
all,GO:0046434,organophosphate catabolic process,226,2,155,35143,0.263044653454461,2.0196078431372,0.381255003792295
all,GO:0033044,regulation of chromosome organization,228,2,155,35143,0.266307437493747,2.00177731911472,0.384427671865974
