bin,set,NP_NP,Normal_1stT,Normal_2ndT,Normal_3rdT,Normal_delivery,PreX_1stT,PreX_2ndT,PreX_3rdT,PreX_delivery,GDM_1stT,GDM_2ndT,GDM_3rdT,GDM_delivery,cHTN_1stT,cHTN_2ndT,cHTN_3rdT,cHTN_delivery
2707,Placenta-HIGH,0.391534391534392,0.409090909090909,0.441176470588235,0.47,0.467625899280576,0.377952755905512,0.388888888888889,0.411764705882353,0.419354838709677,0.325,0.346153846153846,0.458015267175573,0.461956521739131,0.5,0.355555555555556,0.32258064516129,0.514285714285714
2730,Placenta-HIGH,0.0900473933649289,0.166666666666667,0.113207547169811,0.132450331125828,0.152542372881356,0.155038759689923,0.1875,0.133928571428571,0.16015625,0.0782608695652174,0.178947368421053,0.193333333333333,0.240437158469945,,0.162162162162162,0.384615384615385,
2764,B-cells,0.908108108108108,0.858108108108108,0.888268156424581,0.887218045112782,0.863874345549738,0.919047619047619,0.893023255813954,0.852941176470588,0.871148459383754,0.868613138686131,0.926701570680628,0.809248554913295,0.833333333333333,0.775862068965517,0.8125,0.873563218390805,0.8
2791,Neutrophils,0.717277486910995,0.689119170984456,0.742990654205608,0.878947368421053,0.72093023255814,0.536082474226804,0.697247706422018,0.741721854304636,0.711934156378601,0.776699029126214,0.797520661157025,0.761627906976744,0.74922600619195,0.794871794871795,0.777777777777778,0.75609756097561,0.703703703703704
2805,Neutrophils,0.692307692307692,0.75,0.770833333333333,0.73469387755102,0.666666666666667,0.596153846153846,0.727272727272727,0.9375,0.646341463414634,0.741379310344828,0.640350877192982,0.796610169491525,0.683333333333333,,,,0.795918367346939
2808,Neutrophils,0.5,0.571428571428571,0.55440414507772,0.492537313432836,0.520491803278689,0.351515151515152,0.445378151260504,0.505494505494506,0.410919540229885,0.463855421686747,0.517587939698493,0.59493670886076,0.550239234449761,,0.568181818181818,0.525641025641026,0.5375
2809,B-cells,0.895161290322581,0.908396946564885,0.895652173913044,0.886363636363636,0.880952380952381,0.838383838383838,0.851485148514852,0.911111111111111,0.926829268292683,0.741935483870968,0.909677419354839,0.907692307692308,0.913907284768212,,,0.783333333333333,0.833333333333333
2825,Placenta-HIGH,0.52760736196319,0.484375,0.580645161290323,0.595959595959596,0.568181818181818,0.355769230769231,0.515384615384615,0.5,0.367952522255193,0.449152542372881,0.437086092715232,0.588235294117647,0.610966057441253,0.364705882352941,0.242424242424242,0.431818181818182,0.802325581395349
2829,B-cells,0.95,0.938775510204082,0.953333333333333,0.931818181818182,0.886075949367089,0.968085106382979,0.91304347826087,0.945205479452055,0.900343642611684,0.926829268292683,0.917582417582418,0.885416666666667,0.941489361702128,0.967741935483871,0.948275862068965,0.95,0.920634920634921
2836,B-cells,0.685714285714286,0.763157894736842,0.935483870967742,0.844827586206897,0.916666666666667,0.803921568627451,0.735294117647059,0.75,0.873239436619718,0.836734693877551,0.759036144578313,0.722222222222222,0.779220779220779,,,,
