motif_id,tf,cand_hit,cand_n,hypo_hit,hypo_n,hyper_hit,hyper_n,bg_hit,bg_n,or,p_fisher,p_bh
MA0153.2,HNF1B,1,166,1,61,0,105,26,2458,0.566899766899767,1,1
MA1494.1,HNF4A,0,166,0,61,0,105,4,2458,0,1,1
MA0484.2,HNF4G,8,166,2,61,6,105,132,2458,0.892213271960108,1,1
MA0650.2,HOXA13,14,166,3,61,11,105,209,2458,0.991123142785193,1,1
MA0900.1,HOXA2,102,166,34,61,68,105,1516,2458,0.990311675461741,1,1
MA0158.1,HOXA5,153,166,52,61,101,105,2262,2458,1.01979187920832,1,1
MA2093.1,HOXB1,121,166,38,61,83,105,1794,2458,0.995218630001239,1,1
MA1957.1,HOXB2::ELK1,0,166,0,61,0,105,2,2458,0,1,1
MA0651.2,HOXC11,0,166,0,61,0,105,10,2458,0,1,1
MA0651.3,HOXC11,1,166,0,61,1,105,14,2458,1.05800865800866,1,1
MA1958.1,HOXD12::ELK1,0,166,0,61,0,105,2,2458,0,1,1
MA1958.2,HOXD12::ELK1,0,166,0,61,0,105,2,2458,0,1,1
MA0909.2,HOXD13,13,166,7,61,6,105,199,2458,0.96452852497783,1,1
MA0771.1,HSF4,6,166,2,61,4,105,103,2458,0.857402912621359,1,1
MA1508.1,IKZF1,41,166,18,61,23,105,613,2458,0.98721044045677,1,1
MA0050.2,IRF1,0,166,0,61,0,105,8,2458,0,1,1
MA0051.1,IRF2,0,166,0,61,0,105,2,2458,0,1,1
